sku,image,image+AF8-label,small+AF8-image,small+AF8-image+AF8-label
1770,/uploads/2013/12/Frasco+AF8-50+AF8-Te+AF8-Rojo+AF8-Ginseng.jpg,Frasco+AF8-50+AF8-Te+AF8-Rojo+AF8-Ginseng.jpg,,
1788,/uploads/2013/12/Pack+AF8-1.jpg,Pack+AF8-1.jpg,,
1798,/uploads/2013/12/Pack+AF8-2.jpg,Pack+AF8-2.jpg,,
1803,/uploads/2013/12/Pack+AF8-3.jpg,Pack+AF8-3.jpg,,
1804,/uploads/2013/12/Pack+AF8-4.jpg,Pack+AF8-4.jpg,,
1817,/uploads/2013/12/Pack+AF8-5.jpg,Pack+AF8-5.jpg,,
1818,/uploads/2013/12/Pack+AF8-6.jpg,Pack+AF8-6.jpg,,
1836,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Pu+AC0-Ehr+AF8-con+AF8-Crisantemo.jpg,Bolsa+AF8-50+AF8-Te+AF8-Pu+AC0-Ehr+AF8-con+AF8-Crisantemo.jpg,,
1842,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Pu+AC0-Ehr+AF8-con+AF8-Crisantemo.jpg,Bolsa+AF8-50+AF8-Te+AF8-Pu+AC0-Ehr+AF8-con+AF8-Crisantemo.jpg,,
1844,/uploads/2013/12/Frasco+AF8-50+AF8-Te+AF8-Pu+AC0-Erh+AF8-con+AF8-Crisantemo.jpg,Frasco+AF8-50+AF8-Te+AF8-Pu+AC0-Erh+AF8-con+AF8-Crisantemo.jpg,,
1860,/uploads/2012/02/RASPBERRY+AC0-DREAMMMMM.jpg,RASPBERRY+AC0-DREAMMMMM.jpg,,
1870,/uploads/2012/02/RASPBERRY+AC0-DREAMMMMM.jpg,RASPBERRY+AC0-DREAMMMMM.jpg,,
1906,/uploads/2013/12/Tetera+AC0-con+AC0-filtro+AC0-1000+AC0-ml.jpg,Tetera+AC0-con+AC0-filtro+AC0-1000+AC0-ml.jpg,,
2454,/uploads/2014/03/634d4d+AF8-234de2f6445a4a58a05d977b772fbb3e.jpg+AF8-srz+AF8-400+AF8-345+AF8-75+AF8-22+AF8-0.50+AF8-1.20+AF8-0.00+AF8-jpg+AF8-sr,634d4d+AF8-234de2f6445a4a58a05d977b772fbb3e.jpg+AF8-srz+AF8-400+AF8-345+AF8-75+AF8-22+AF8-0.50+AF8-1.20+AF8-0.00+AF8-jpg+AF8-sr,,
2458,/uploads/2014/03/recut.php+AF8-.html.jpeg,recut.php+AF8-.html.jpeg,,
2464,/uploads/2014/03/CISNES.jpg,CISNES.jpg,,
2472,/uploads/2014/03/P1010867.jpg,P1010867.jpg,,
2481,/uploads/2014/03/P1010868.jpg,P1010868.jpg,,
2485,/uploads/2014/03/P1010838.jpg,P1010838.jpg,,
2508,/uploads/2014/03/517160+AF8-475797ba272cd4a761282bbf7a25764a.jpg,517160+AF8-475797ba272cd4a761282bbf7a25764a.jpg,,
2545,/uploads/2014/04/T+AOkALQ-Azul+AC0-1+AC0-1024x868.jpg,T+AOkALQ-Azul+AC0-1+AC0-1024x868.jpg,,
2546,/uploads/2014/04/T+AOkALQ-Azul+AC0-1+AC0-1024x868.jpg,T+AOkALQ-Azul+AC0-1+AC0-1024x868.jpg,,
2547,/uploads/2014/04/T+AOkALQ-Azul+AC0-1.jpg,T+AOkALQ-Azul+AC0-1.jpg,,
2601,/uploads/2015/01/T+AOkALQ-Verde+AC0-1+AC0-1024x857.jpg,T+AOkALQ-Verde+AC0-1+AC0-1024x857.jpg,,
2606,/uploads/2015/01/T+AOkALQ-Verde+AC0-1+AC0-1024x857.jpg,T+AOkALQ-Verde+AC0-1+AC0-1024x857.jpg,,
2607,/uploads/2015/01/T+AOkALQ-Verde+AC0-1+AC0-1024x857.jpg,T+AOkALQ-Verde+AC0-1+AC0-1024x857.jpg,,
2630,/uploads/2015/01/Te+AC0-Rojo.jpg,Te+AC0-Rojo.jpg,,
2632,/uploads/2015/01/T+AOkALQ-Rojo.jpg,T+AOkALQ-Rojo.jpg,,
2633,/uploads/2015/01/T+AOkALQ-Rojo.jpg,T+AOkALQ-Rojo.jpg,,
2688,/uploads/2015/01/T+AOkALQ-Rojo+AC0-Cardamomo+AC0-1.jpg,T+AOkALQ-Rojo+AC0-Cardamomo+AC0-1.jpg,,
2690,/uploads/2015/01/T+AOkALQ-Rojo+AC0-Cardamomo+AC0-1.jpg,T+AOkALQ-Rojo+AC0-Cardamomo+AC0-1.jpg,,
2691,/uploads/2015/01/T+AOkALQ-Rojo+AC0-Cardamomo+AC0-1.jpg,T+AOkALQ-Rojo+AC0-Cardamomo+AC0-1.jpg,,
2733,/uploads/2015/01/T+AOkALQ-Azul+AC0-Ar+AO0AoQ-ndano+AC0-1.jpg,T+AOkALQ-Azul+AC0-Ar+AO0AoQ-ndano+AC0-1.jpg,,
2734,/uploads/2015/01/T+AOkALQ-Azul+AC0-Ar+AO0AoQ-ndano+AC0-1.jpg,T+AOkALQ-Azul+AC0-Ar+AO0AoQ-ndano+AC0-1.jpg,,
2754,/uploads/2015/01/T+AOkALQ-Azul+AC0-Pomelo+AC0-1.jpg,T+AOkALQ-Azul+AC0-Pomelo+AC0-1.jpg,,
2755,/uploads/2015/01/T+AOkALQ-Azul+AC0-Pomelo+AC0-1.jpg,T+AOkALQ-Azul+AC0-Pomelo+AC0-1.jpg,,
2771,/uploads/2015/01/T+AOkALQ-Blanco+AC0-1.jpg,T+AOkALQ-Blanco+AC0-1.jpg,,
2772,/uploads/2015/01/T+AOkALQ-Blanco+AC0-1.jpg,T+AOkALQ-Blanco+AC0-1.jpg,,
2792,/uploads/2015/01/T+AOkALQ-Blanco+AC0-con+AC0-Lavanda+AC0-y+AC0-Rosas+AC0-1.jpg,T+AOkALQ-Blanco+AC0-con+AC0-Lavanda+AC0-y+AC0-Rosas+AC0-1.jpg,,
2793,/uploads/2015/01/T+AOkALQ-Blanco+AC0-con+AC0-Lavanda+AC0-y+AC0-Rosas+AC0-11.jpg,T+AOkALQ-Blanco+AC0-con+AC0-Lavanda+AC0-y+AC0-Rosas+AC0-11.jpg,,
